method,seed,k,h,budget,score,success,final_distance,avg_k,avg_h,avg_budget,nfe,policy_calls,rollout_time_sec,chunk_discontinuity,smoothness,jerk_proxy,phase_free_score,phase_contact_score,phase_align_score
fixed_k2_h1,0,2.0,1.0,2.0,0.9816262707472116,1,0.009474346676344636,2.0,1.0,2.0,240,120,0.007588902488350868,0.6109722034544265,0.4674000624775345,1.4313280101335744,0.4297765727430861,0.38392770018817374,0.9244589680128273
fixed_k2_h1,1,2.0,1.0,2.0,0.9977100313101965,1,0.001178083832213927,2.0,1.0,2.0,240,120,0.007488582283258438,0.6007126683754024,0.4856581796507566,1.4818015551722754,0.447267019170618,0.4383405530187771,0.8687830612047197
fixed_k2_h1,2,2.0,1.0,2.0,0.96982677269731,1,0.015585428197042683,2.0,1.0,2.0,240,120,0.008211394771933556,0.6641960517124387,0.5464411425275812,1.6465284612796334,0.45244682240102185,0.43617089466224623,0.9648508829586677
fixed_k2_h1,3,2.0,1.0,2.0,0.8890067835982426,1,0.05803333294174141,2.0,1.0,2.0,240,120,0.00825034361332655,0.5845179537552695,0.4423736785581803,1.345157404218106,0.4894961799141638,0.551848324097839,0.9580977428941069
fixed_k2_h1,4,2.0,1.0,2.0,0.959525795252024,1,0.02093779729300982,2.0,1.0,2.0,240,120,0.007788696326315403,0.6165871533093447,0.46461203464646883,1.378648380657035,0.4399579879288263,0.43833483428581793,0.9066641259759491
fixed_k2_h1,5,2.0,1.0,2.0,0.7742691279634082,1,0.1202509085675516,2.0,1.0,2.0,240,120,0.0070897964760661125,0.5205421916990464,0.35384693837935954,1.0336330155097382,0.46345033672731517,0.5146575949223794,0.8199010622865459
fixed_k2_h1,6,2.0,1.0,2.0,0.9126324548119904,1,0.04551478930741961,2.0,1.0,2.0,240,120,0.0072283269837498665,0.5809230181067061,0.41881212707422405,1.2191792026157418,0.48124254067950867,0.35729801470663536,0.876048476197338
fixed_k2_h1,7,2.0,1.0,2.0,0.9122686893873149,1,0.04570683060744417,2.0,1.0,2.0,240,120,0.007210983894765377,0.5480289079119278,0.37588166588338173,1.1730143839870488,0.4577247873611956,0.46825992903524316,0.8655264115121001
fixed_k2_h1,8,2.0,1.0,2.0,0.9850807981152062,1,0.007689190864566869,2.0,1.0,2.0,240,120,0.007125724107027054,0.5941662368510742,0.4637131596064349,1.5020845559891431,0.5028233424815559,0.5691009173467104,0.9211327294117568
fixed_k2_h1,9,2.0,1.0,2.0,0.7935556909889698,1,0.10961749758094207,2.0,1.0,2.0,240,120,0.007170156575739384,0.557145465202124,0.3963389015428408,1.219495351630499,0.4551222676665458,0.5541890337910685,0.89073187083198
fixed_k2_h1,10,2.0,1.0,2.0,0.9909960231696653,1,0.0046365960396651095,2.0,1.0,2.0,240,120,0.0075853131711483,0.5852277985768398,0.4410092983454675,1.3193750608239787,0.44512582661224714,0.34919646750516403,0.8945866079201071
fixed_k2_h1,11,2.0,1.0,2.0,0.9399611285572467,1,0.031149024314389744,2.0,1.0,2.0,240,120,0.006983582861721516,0.6303271545172622,0.4981404160578563,1.5028054635510326,0.5431346639905605,0.5915150780152866,0.9026923439714212
fixed_k2_h1,12,2.0,1.0,2.0,0.9481221027983848,1,0.026882321902760152,2.0,1.0,2.0,240,120,0.007345288991928101,0.5840503147297226,0.4256523370346722,1.2789407332835148,0.5341760134027905,0.6286492528469961,0.9380625956499591
fixed_k2_h1,13,2.0,1.0,2.0,0.8208949584115478,1,0.0946698833854803,2.0,1.0,2.0,240,120,0.007031434215605259,0.5372841469282751,0.37464659009741247,1.0810627108978974,0.4909987363473012,0.5352919242495606,0.8496514290558768
fixed_k2_h1,14,2.0,1.0,2.0,0.8058563255538918,1,0.10287427130636123,2.0,1.0,2.0,240,120,0.0070648761466145515,0.5827743907702895,0.4168980090042368,1.2079113149931038,0.3152862714438733,0.3477299045569305,0.8421364505138781
