method,seed,k,h,budget,score,success,final_distance,avg_k,avg_h,avg_budget,nfe,policy_calls,rollout_time_sec,chunk_discontinuity,smoothness,jerk_proxy,phase_free_score,phase_contact_score,phase_align_score
fixed_k2_h1,0,2.0,1.0,2.0,0.9816262707472116,1,0.009474346676344636,2.0,1.0,2.0,240,120,0.007712425664067268,0.6109722034544265,0.4674000624775345,1.4313280101335744,0.4297765727430861,0.38392770018817374,0.9244589680128273
fixed_k2_h1,1,2.0,1.0,2.0,0.9977100313101965,1,0.001178083832213927,2.0,1.0,2.0,240,120,0.007534774020314217,0.6007126683754024,0.4856581796507566,1.4818015551722754,0.447267019170618,0.4383405530187771,0.8687830612047197
fixed_k2_h1,2,2.0,1.0,2.0,0.96982677269731,1,0.015585428197042683,2.0,1.0,2.0,240,120,0.008338350802659988,0.6641960517124387,0.5464411425275812,1.6465284612796334,0.45244682240102185,0.43617089466224623,0.9648508829586677
fixed_k2_h1,3,2.0,1.0,2.0,0.8890067835982426,1,0.05803333294174141,2.0,1.0,2.0,240,120,0.015925112180411816,0.5845179537552695,0.4423736785581803,1.345157404218106,0.4894961799141638,0.551848324097839,0.9580977428941069
fixed_k2_h1,4,2.0,1.0,2.0,0.959525795252024,1,0.02093779729300982,2.0,1.0,2.0,240,120,0.015399033203721046,0.6165871533093447,0.46461203464646883,1.378648380657035,0.4399579879288263,0.43833483428581793,0.9066641259759491
fixed_k2_h1,5,2.0,1.0,2.0,0.7742691279634082,1,0.1202509085675516,2.0,1.0,2.0,240,120,0.00715420488268137,0.5205421916990464,0.35384693837935954,1.0336330155097382,0.46345033672731517,0.5146575949223794,0.8199010622865459
fixed_k2_h1,6,2.0,1.0,2.0,0.9126324548119904,1,0.04551478930741961,2.0,1.0,2.0,240,120,0.00721348263323307,0.5809230181067061,0.41881212707422405,1.2191792026157418,0.48124254067950867,0.35729801470663536,0.876048476197338
fixed_k2_h1,7,2.0,1.0,2.0,0.9122686893873149,1,0.04570683060744417,2.0,1.0,2.0,240,120,0.007310796529054642,0.5480289079119278,0.37588166588338173,1.1730143839870488,0.4577247873611956,0.46825992903524316,0.8655264115121001
fixed_k2_h2,0,2.0,2.0,1.0,0.7616224702331065,1,0.12726456879764608,2.0,2.0,1.0,120,60,0.0065490733832120895,0.5774828506739563,0.23300847238248293,0.49846582692735564,0.3643812517534524,0.4265052793751935,0.7989646664242485
fixed_k2_h2,1,2.0,2.0,1.0,0.9972088170744519,1,0.001436038568467766,2.0,2.0,1.0,120,60,0.006574167869985104,0.49162936193559753,0.1831793095388194,0.40302710270002706,0.4664064311849752,0.4954564793028385,0.9324068251608808
