visible_rate,obs_impute,label,deployable,n_matched,mean_score,std_score,success_rate_095,delta_vs_zero,delta_vs_zero_ci_low,delta_vs_zero_ci_high,delta_vs_carry_forward,delta_vs_carry_forward_ci_low,delta_vs_carry_forward_ci_high
0.5,none,zero-fill,True,20,0.1768099571874071,0.2324861792157693,0.0,0.0,0.0,0.0,-0.7245405945984906,-0.8467530650362156,-0.5866389678624979
0.5,mean_prior,mean prior,True,20,0.4048984179037203,0.4007826331564884,0.25,0.22808846071631317,0.05825132848544372,0.4052237500556677,-0.49645213388217735,-0.7122744713768843,-0.2579481365772803
0.5,frame_hold,frame hold,True,20,0.40269536096274405,0.39756317890725906,0.2,0.225885403775337,0.05988620864080566,0.40429413297745004,-0.4986551908231537,-0.7106354523007765,-0.2503449395974211
0.5,carry_forward,carry-forward,True,20,0.9013505517858977,0.2369054427656057,0.75,0.7245405945984906,0.5859510837023039,0.8462304862097688,0.0,0.0,0.0
0.5,linear,linear,True,20,0.8745655674872426,0.2998358914307362,0.85,0.6977556102998355,0.5444642867594361,0.834776845816028,-0.02678498429865514,-0.18926328348591695,0.13009926437225047
0.5,oracle,oracle,False,20,0.9001579004758387,0.2776591976055042,0.9,0.7233479432884314,0.5714982295053967,0.8544809780819432,-0.0011926513100591007,-0.09998084401976305,0.07746496783250634
0.25,none,zero-fill,True,20,0.13449697484954992,0.15355729368383866,0.0,0.0,0.0,0.0,-0.4402123701694924,-0.5875770843411114,-0.2919640152247573
0.25,mean_prior,mean prior,True,20,0.2573896687322498,0.23319132899595976,0.0,0.12289269388269992,0.0411588096283239,0.21413301556951628,-0.31731967628679264,-0.48261135236815644,-0.1574981250885473
0.25,frame_hold,frame hold,True,20,0.25738966873224983,0.23319132899595976,0.0,0.12289269388269992,0.039699013589192346,0.2158741002894086,-0.3173196762867926,-0.47909434084593844,-0.15404084394520207
0.25,carry_forward,carry-forward,True,20,0.5747093450190424,0.35293914492683365,0.2,0.4402123701694924,0.2901134897317334,0.5865383366208579,0.0,0.0,0.0
0.25,linear,linear,True,20,0.6678152084724458,0.3877858094537916,0.35,0.5333182336228958,0.37768692972439394,0.6848348644501981,0.09310586345340333,-0.12599157995842328,0.30048702199647515
0.25,oracle,oracle,False,20,0.9001579004758387,0.2776591976055042,0.9,0.7656609256262887,0.6265613476746171,0.8805654953348259,0.3254485554567962,0.15084579791660666,0.4981864541628549
