method,episodes,k_mean,k_std,h_mean,h_std,budget_mean,budget_std,score_mean,score_std,success_mean,success_std,final_distance_mean,final_distance_std,avg_k_mean,avg_k_std,avg_h_mean,avg_h_std,avg_budget_mean,avg_budget_std,nfe_mean,nfe_std,policy_calls_mean,policy_calls_std,rollout_time_sec_mean,rollout_time_sec_std,chunk_discontinuity_mean,chunk_discontinuity_std,smoothness_mean,smoothness_std,jerk_proxy_mean,jerk_proxy_std,phase_free_score_mean,phase_free_score_std,phase_contact_score_mean,phase_contact_score_std,phase_align_score_mean,phase_align_score_std
aac_dvac_h_only,8,8.0,0.0,3.2116774571635878,0.6914608656278641,2.625,0.6402581944462371,0.7314449900905593,0.11619878720863071,0.5,0.5,0.14558386921497624,0.06476763542283435,8.0,0.0,3.2116774571635878,0.6914608656278641,2.625,0.6402581944462371,315.0,76.83098333354845,39.375,9.603872916693556,0.006559556350111961,0.00047162730709999335,0.28777415042185556,0.03726247695919152,0.04760608091115466,0.02634740405215106,0.11379653930528073,0.07945405474620451,0.48158423158305325,0.09002877783454996,0.4057800753105018,0.05265861435639071,0.8529303395748006,0.07298049173853109
fixed_k16_h1,8,16.0,0.0,1.0,0.0,16.0,0.0,0.5049219370286286,0.2059661859948355,0.25,0.4330127018922193,0.28550825549161096,0.1276649224352397,16.0,0.0,1.0,0.0,16.0,0.0,1920.0,0.0,120.0,0.0,0.007101569091901183,4.539602446256913e-05,0.21201386038834485,0.016921581083069293,0.058624049600188716,0.008925343827214771,0.17364342315274034,0.026183719401660713,0.4123814886748475,0.07763607484997674,0.3722704501703085,0.04614931940473983,0.8302255364139624,0.04804471532520821
fixed_k16_h2,8,16.0,0.0,2.0,0.0,8.0,0.0,0.5410465055642235,0.30519234858016114,0.375,0.4841229182759271,0.27288889420449464,0.19351903089998174,16.0,0.0,2.0,0.0,8.0,0.0,960.0,0.0,60.0,0.0,0.006423108163289726,4.690285064253615e-05,0.19663424681324743,0.01704251318260906,0.030279662322820224,0.0077879831131380415,0.06713922369748464,0.02180622858908673,0.38677550075956035,0.09003433489970379,0.40932336347166826,0.06822581137944629,0.8550694541504665,0.026315225407695958
fixed_k16_h4,8,16.0,0.0,4.0,0.0,4.0,0.0,0.4894507824529078,0.22083652064773812,0.125,0.33071891388307384,0.29635933380566204,0.1362274830694198,16.0,0.0,4.0,0.0,4.0,0.0,480.0,0.0,30.0,0.0,0.00625972356647253,0.0006890994403744382,0.195379439781673,0.03989551140026946,0.01999606920893347,0.009687412475761758,0.04715797690950101,0.022289849060937988,0.4168448644565095,0.05882423717962682,0.3982085968209659,0.07275307006686822,0.9332524481193679,0.0
fixed_k16_h8,8,16.0,0.0,8.0,0.0,2.0,0.0,0.3495229041832234,0.2137800709450252,0.125,0.33071891388307384,0.39268097846600636,0.14538892382411847,16.0,0.0,8.0,0.0,2.0,0.0,240.0,0.0,15.0,0.0,0.005765907582826912,4.575303347694985e-05,0.15139621778178816,0.02315673050796737,0.006547421333240084,0.00232675479642337,0.01269619324461611,0.00445338567952112,0.3201189033936939,0.04729213408848416,0.3801913298411404,0.016804471573217766,0.7802733225105114,0.0
fixed_k2_h1,8,2.0,0.0,1.0,0.0,2.0,0.0,0.9246082407209623,0.06710428016638995,1.0,0.0,0.03958518967784598,0.03575158960260427,2.0,0.0,1.0,0.0,2.0,0.0,240.0,0.0,120.0,0.0,0.009573522489517927,0.003534966532219935,0.5908100185405702,0.041017801757794965,0.4443782286496859,0.0576689061382459,1.3386613016966442,0.18036654814593658,0.4576702808657169,0.01880574362340509,0.448604730614639,0.059470587611692854,0.8980413413802819,0.046563648078128295
fixed_k2_h2,8,2.0,0.0,2.0,0.0,1.0,0.0,0.8859539430306804,0.08775641423542026,1.0,0.0,0.06033044979632465,0.04697702600674902,2.0,0.0,2.0,0.0,1.0,0.0,120.0,0.0,60.0,0.0,0.008669797447510064,0.004730255057083311,0.5439179406627506,0.03929589333053723,0.21380873852241036,0.03226319832314255,0.4769249737394855,0.08482601948706477,0.42881711022056257,0.037951128526294745,0.43924983798515804,0.049627614074679624,0.8692341289764006,0.04696522086790864
fixed_k2_h4,8,2.0,0.0,4.0,0.0,0.5,0.0,0.8561083071178643,0.08985936033661342,0.875,0.33071891388307384,0.0763841161355147,0.04905085953164165,2.0,0.0,4.0,0.0,0.5,0.0,60.0,0.0,30.0,0.0,0.008433992159552872,0.0036431678962626337,0.5314689296420543,0.058725784449527786,0.121782058006217,0.02510235539309502,0.28976750281609454,0.06532885002268225,0.45218176324482656,0.06015120827498313,0.45334219664537223,0.05629466971089151,0.8880735134715152,0.04341375984724815
fixed_k2_h8,8,2.0,0.0,8.0,0.0,0.25,0.0,0.7216200926791261,0.18613839635480373,0.625,0.4841229182759271,0.15432798404710912,0.11146231533888158,2.0,0.0,8.0,0.0,0.25,0.0,30.0,0.0,15.0,0.0,0.007812416763044894,0.0034889150323803293,0.447147870603427,0.04660991423331913,0.055547266082990196,0.009818554408809447,0.12242382864004633,0.027709527761644273,0.4687127850713224,0.08796940985414273,0.4608166438553356,0.09122052780019621,0.8996699416446784,0.04347887085743353
fixed_k4_h1,8,4.0,0.0,1.0,0.0,4.0,0.0,0.7505145014919808,0.1978373902787718,0.625,0.4841229182759271,0.13784344506701235,0.11223927637897915,4.0,0.0,1.0,0.0,4.0,0.0,480.0,0.0,120.0,0.0,0.00929977314081043,0.004606888088007793,0.41975694976081,0.031017046225303546,0.22457381008623162,0.031104948732095402,0.6773197845577863,0.0969328556093845,0.4561208069153191,0.046591951250088665,0.42318601798037464,0.05200745813943705,0.8684671366647002,0.03860346447315588
